Month,Monthly beer production
01/01/1956,93.2
02/01/1956,96
03/01/1956,95.2
04/01/1956,77.1
05/01/1956,70.9
06/01/1956,64.8
07/01/1956,70.1
08/01/1956,77.3
09/01/1956,79.5
10/01/1956,100.6
11/01/1956,100.7
12/01/1956,107.1
01/01/1957,95.9
02/01/1957,82.8
03/01/1957,83.3
04/01/1957,80
05/01/1957,80.4
06/01/1957,67.5
07/01/1957,75.7
08/01/1957,71.1
09/01/1957,89.3
10/01/1957,101.1
11/01/1957,105.2
12/01/1957,114.1
01/01/1958,96.3
02/01/1958,84.4
03/01/1958,91.2
04/01/1958,81.9
05/01/1958,80.5
06/01/1958,70.4
07/01/1958,74.8
08/01/1958,75.9
09/01/1958,86.3
10/01/1958,98.7
11/01/1958,100.9
12/01/1958,113.8
01/01/1959,89.8
02/01/1959,84.4
03/01/1959,87.2
04/01/1959,85.6
05/01/1959,72
06/01/1959,69.2
07/01/1959,77.5
08/01/1959,78.1
09/01/1959,94.3
10/01/1959,97.7
11/01/1959,100.2
12/01/1959,116.4
01/01/1960,97.1
02/01/1960,93
03/01/1960,96
04/01/1960,80.5
05/01/1960,76.1
06/01/1960,69.9
07/01/1960,73.6
08/01/1960,92.6
09/01/1960,94.2
10/01/1960,93.5
11/01/1960,108.5
12/01/1960,109.4
01/01/1961,105.1
02/01/1961,92.5
03/01/1961,97.1
04/01/1961,81.4
05/01/1961,79.1
06/01/1961,72.1
07/01/1961,78.7
08/01/1961,87.1
09/01/1961,91.4
10/01/1961,109.9
11/01/1961,116.3
12/01/1961,113
01/01/1962,100
02/01/1962,84.8
03/01/1962,94.3
04/01/1962,87.1
05/01/1962,90.3
06/01/1962,72.4
07/01/1962,84.9
08/01/1962,92.7
09/01/1962,92.2
10/01/1962,114.9
11/01/1962,112.5
12/01/1962,118.3
01/01/1963,106
02/01/1963,91.2
03/01/1963,96.6
04/01/1963,96.3
05/01/1963,88.2
06/01/1963,70.2
07/01/1963,86.5
08/01/1963,88.2
09/01/1963,102.8
10/01/1963,119.1
11/01/1963,119.2
12/01/1963,125.1
01/01/1964,106.1
02/01/1964,102.1
03/01/1964,105.2
04/01/1964,101
05/01/1964,84.3
06/01/1964,87.5
07/01/1964,92.7
08/01/1964,94.4
09/01/1964,113
10/01/1964,113.9
11/01/1964,122.9
12/01/1964,132.7
01/01/1965,106.9
02/01/1965,96.6
03/01/1965,127.3
04/01/1965,98.2
05/01/1965,100.2
06/01/1965,89.4
07/01/1965,95.3
08/01/1965,104.2
09/01/1965,106.4
10/01/1965,116.2
11/01/1965,135.9
12/01/1965,134
01/01/1966,104.6
02/01/1966,107.1
03/01/1966,123.5
04/01/1966,98.8
05/01/1966,98.6
06/01/1966,90.6
